SiteID,Site,Site_Code,Company,Customer,State,Location,Contact_Person,Contact_Number,Address,Maker,Checker,Status
"320","835 Gurgaon","Si_835_00320","Demo Company","Mynd","Haryana","","","","Udyog Vihar Phase V Gurgaon Haryana","","","Active"
"349","Test Site 15","Si_Tes_00349","Demo Company","Mynd","Delhi","","","","","","","Active"
"397","Ahmedabad","Si_Ahm_00397","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Gujarat","Ahmedabad","","","Vishram Marg, Tarun Nagar Part 1, Tarun Nagar Part 2, Memnagar, Ahmedabad, Gujarat 380052, India","","","Active"
"398","1215 Kolkata","Si_121_00398","Elara Marketing Services Pvt. Ltd.","Prop Tiger","West Bengal","","","","DLF Galleria '- Unit 1215 Kolkata","","","IN Active"
"399","DLF Galleria Kolkata","Si_DLF_00399","Elara Marketing Services Pvt. Ltd.","Prop Tiger","West Bengal","Kolkata","","","Action Area I, Kolkata, West Bengal, India|Action Area I, New Town, BG Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700156, India","","","Active"
"400","Chennai","Si_Che_00400","Elara Marketing Services Pvt. Ltd.","Prop Tiger","TamilNadu","Chennai","","","Chennai '- Nagapattinam Hwy, CIT Nagar West, CIT Nagar, Chennai, Tamil Nadu 600035, India","","","Active"
"401","Belapur '- Navi Mumbai","Si_Bel_00401","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Maharashtra","Mumbai","","","Unit No. 401 Plot No. 3 Navi Mumbai","","","Active"
"402","Thane","Si_Tha_00402","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Maharashtra","Thane","","","Thane, Maharashtra, India","","","Active"
"403","Hyderabad","Si_Hyd_00403","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Telangana","Hyderabad","","","Madhapur, Hyderabad, Telangana, India","","","Active"
"404","Noida","Si_Noi_00404","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Uttar Pradesh","Noida","","","Noida, Uttar Pradesh, India","","","Active"
"387","Bangalore","Si_Ban_00387","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Karnataka","","","","Venkatadri 8 8A 2nd Floor Hosur Main Road Garvebhavi Palya ?Bangalore ?KA'-560068","","","IN Active"
"413","Aundh '- Pune","Si_Aun_00413","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Maharashtra","Pune","Komal","","Aundh, Pune, Maharashtra, India","","","IN Active"
"414","Hosur Road '- Bangalore","Si_Hos_00414","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Karnataka","Bengaluru","Komal","","NH 44, Garvebhavi Palya, Bengaluru, Karnataka 560068, India","","","Active"
"415","Chennai 2","Si_Che_00415","Elara Marketing Services Pvt. Ltd.","Prop Tiger","TamilNadu","Chennai","Komal","","","","","IN Active"
"416","Kalyani Nagar '- Pune","Si_Kal_00416","Elara Marketing Services Pvt. Ltd.","Prop Tiger","Maharashtra","Pune","Komal","","Kalyani Nagar, Pune, Maharashtra, India","","","IN Active"
